site_code,site_name,time,cast_depth_m,n_samples,near_bottom_o2_ml_l,method,lat,lon
CF001,CF001 (BI-1),2019-01-25 19:58:00.970000+00:00,71.39,577,2.2593400729864417,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2019-02-19 21:21:49.950000+00:00,73.19,583,4.400724667182346,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2019-03-29 21:27:44.450000+00:00,52.96,396,5.834654627758078,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2019-04-25 18:09:32.190000+00:00,73.34,536,6.087675990956059,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2019-05-28 22:15:00.140000+00:00,64.27,460,6.230940652122919,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2019-06-25 21:45:28.410000+00:00,68.51,494,5.5559337214509625,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2019-07-18 20:31:57.800000+00:00,67.14,509,6.160748418948587,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2019-08-09 17:25:36.350000+00:00,71.0,568,4.712830273175101,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2019-08-21 17:55:17.600000+00:00,74.28,671,4.370674868397707,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2019-09-17 17:05:45.980000+00:00,74.28,711,3.884818629646216,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2019-10-03 17:48:54.390000+00:00,74.6,701,3.659976387249115,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2019-10-17 17:31:30.240000+00:00,71.18,665,3.4242051052395883,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2019-10-31 17:31:03.150000+00:00,71.48,678,3.211126927259932,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2019-11-14 20:00:35.330000+00:00,70.55,564,3.5553900790468567,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2019-12-12 21:54:37.790000+00:00,76.87,722,2.915408142847615,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2020-01-08 20:21:39.810000+00:00,74.36,653,2.823063143752799,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2020-01-20 18:51:28.550000+00:00,70.48,594,2.8590345445280048,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2020-02-13 20:09:51.780000+00:00,71.72,645,2.868166316442178,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2020-03-20 17:34:47.260000+00:00,74.49,623,2.6674876847290636,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2020-10-08 20:40:12.750000+00:00,73.22,486,3.305430201981927,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2020-10-29 20:46:14.030000+00:00,62.2,417,3.217825976446666,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2020-11-12 22:10:26.880000+00:00,75.24,546,2.634883856772912,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2020-12-08 18:26:07.310000+00:00,75.42,566,2.63596556700005,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2021-01-05 18:52:14.030000+00:00,73.07,624,2.364714806657101,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2021-01-25 21:57:19.110000+00:00,74.01,579,2.5963339168668322,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2021-02-23 18:06:41.080000+00:00,72.62,646,2.023996118823705,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2021-03-09 18:30:45.230000+00:00,56.49,511,2.158486341244962,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2021-04-28 22:13:10.680000+00:00,71.32,521,2.2242295322232626,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2021-08-05 17:47:12.600000+00:00,68.84,757,3.3376380369163052,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2021-08-16 17:46:03.970000+00:00,70.53,638,3.1792833061538337,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2021-09-02 18:41:42.160000+00:00,55.05,424,3.618823705030601,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2021-09-15 22:38:41.140000+00:00,71.03,577,2.917937625159485,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2021-09-27 17:19:00.190000+00:00,71.47,577,2.8233272708994037,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2021-10-19 21:17:13.570000+00:00,67.06,480,2.775386934344042,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2021-11-25 18:22:24.970000+00:00,71.81,593,2.4077474249888042,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2022-02-22 23:40:11.360000+00:00,61.81,470,2.674314458596736,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2022-03-11 23:43:25.090000+00:00,69.56,459,2.690988478606034,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2022-03-28 17:19:40.130000+00:00,60.64,538,2.598133745213267,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2022-04-11 16:50:08.430000+00:00,70.24,639,2.4982467109988264,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2022-05-11 21:33:09.210000+00:00,76.46,589,3.2949196397472273,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2022-06-02 22:21:12.630000+00:00,65.67,494,4.0207775308621105,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2022-06-17 21:50:50.390000+00:00,60.6,429,5.459823427803723,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2022-06-30 21:01:00.980000+00:00,64.46,465,4.715522572665431,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2022-07-12 22:06:18.290000+00:00,68.25,631,2.5384971125336238,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2022-07-21 16:41:54.430000+00:00,53.35,426,5.223497432799757,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2022-09-20 21:54:52.190000+00:00,59.34,433,3.4044116802737503,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2022-10-21 22:31:56.410000+00:00,70.16,517,1.5909776360163417,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2022-10-31 21:15:55.080000+00:00,70.47,558,1.565432044826494,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2022-11-17 22:34:26.390000+00:00,75.14,724,3.0900134348410218,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2023-01-16 18:29:28.910000+00:00,73.27,714,3.6619538097370605,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2023-03-29 17:36:05.240000+00:00,73.24,668,5.562606359158085,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2023-04-13 22:11:46.590000+00:00,73.07,591,5.324177737970842,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2023-08-09 17:20:43.750000+00:00,53.17,435,4.902579048989451,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2023-08-24 21:27:51.600000+00:00,61.0,496,3.9352888490819526,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2023-12-06 23:10:12.660000+00:00,72.14,610,2.079601433049709,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2024-02-02 18:58:20.960000+00:00,73.85,657,2.390350676768693,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2024-02-23 23:08:26.360000+00:00,70.81,612,3.0187639946260636,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2024-03-06 19:01:35.230000+00:00,66.11,535,3.0946708463949837,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2024-04-08 22:11:53.270000+00:00,53.92,467,4.12996121353807,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2024-04-30 21:01:02.060000+00:00,71.44,732,2.5281648709640594,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2024-05-21 18:26:28.690000+00:00,54.82,460,4.058198173640454,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2024-06-06 22:23:08.330000+00:00,52.71,441,4.314421210972938,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2024-07-18 17:10:39.190000+00:00,68.54,583,3.435400806090461,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2024-08-08 22:43:06.280000+00:00,69.14,667,3.003235329062212,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2024-10-29 22:28:09.240000+00:00,60.03606,489,2.1502594863848823,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2024-11-08 22:44:28.520000+00:00,70.775658,582,1.7574096734319995,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2024-11-21 18:01:26.380000+00:00,72.312622,635,1.3116296087541457,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2024-12-04 18:36:04.360000+00:00,70.648064,599,1.3003289072165152,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2025-01-27 23:42:19.260000+00:00,73.144478,611,1.445671713095131,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2025-03-10 21:19:05.670000+00:00,71.489105,604,1.0333230697056335,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2025-04-22 21:30:19.860000+00:00,68.920906,606,1.4070183981241764,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2025-05-30 21:14:04.850000+00:00,68.117638,564,2.589510476263644,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2025-06-19 20:57:01.860000+00:00,70.576279,583,1.8889471485859572,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2025-08-18 23:01:01.720000+00:00,59.94957,504,2.6683455596097048,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2025-09-12 21:34:05.430000+00:00,28.794323,214,3.0327476560344997,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2025-10-02 16:53:14.690000+00:00,71.077011,627,2.3457226839767937,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2025-10-29 17:09:01.800000+00:00,70.635246,598,1.225339391962485,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2025-11-07 18:03:22.970000+00:00,70.14019,574,1.457195451769451,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2025-12-09 18:10:44.390000+00:00,75.527794,669,1.3066114782126401,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2026-01-13 22:37:42.970000+00:00,72.718071,630,1.2923307333177865,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2026-02-09 22:27:52.220000+00:00,71.151665,610,1.2012391476884259,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2026-03-17 21:07:10.760000+00:00,70.97039,626,1.7719884602016358,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2026-03-26 21:38:51.320000+00:00,73.649902,636,1.2384315943716315,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2026-04-13 19:52:28.190000+00:00,69.288857,588,2.0125312421522783,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2026-05-04 21:31:58.740000+00:00,68.361794,644,2.426381454648692,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2026-06-09 22:04:32.790000+00:00,71.950531,611,1.1830779154942508,deepest_5m,49.4593,-122.8768
CF001,CF001 (BI-1),2026-06-25 22:34:14.430000+00:00,70.944481,604,1.2832871868117035,deepest_5m,49.4593,-122.8768
CF005,CF005 (BI-5),2019-01-25 21:17:58.750000+00:00,68.9,449,4.334007092627783,deepest_5m,49.3431,-122.9052
CF005,CF005 (BI-5),2019-01-26 17:44:55.100000+00:00,79.46,609,4.808044619956846,deepest_5m,49.3431,-122.9052
CF005,CF005 (BI-5),2019-02-08 20:38:13.820000+00:00,77.55,618,4.730158730158732,deepest_5m,49.3431,-122.9052
CF005,CF005 (BI-5),2019-04-12 17:15:29.700000+00:00,76.82,593,5.854384643569596,deepest_5m,49.3431,-122.9052
CF005,CF005 (BI-5),2019-04-25 19:31:07.570000+00:00,77.29,483,5.685291719774481,deepest_5m,49.3431,-122.9052
CF005,CF005 (BI-5),2019-05-28 17:49:44.730000+00:00,73.92,569,5.256708090759815,deepest_5m,49.3431,-122.9052
CF005,CF005 (BI-5),2019-06-11 18:55:49.140000+00:00,30.45,209,7.049115842219291,deepest_5m,49.3431,-122.9052
CF005,CF005 (BI-5),2019-06-25 19:02:22.960000+00:00,34.76,245,6.532903257041189,deepest_5m,49.3431,-122.9052
CF005,CF005 (BI-5),2019-08-08 19:55:20.570000+00:00,29.2,242,5.4515599343185555,deepest_5m,49.3431,-122.9052
CF005,CF005 (BI-5),2019-08-21 21:20:44.210000+00:00,16.69,125,6.313609258255356,deepest_5m,49.3431,-122.9052
CF005,CF005 (BI-5),2019-10-04 16:59:31.720000+00:00,47.68,495,4.08415095875911,deepest_5m,49.3431,-122.9052
CF005,CF005 (BI-5),2019-10-16 20:04:17.760000+00:00,39.77,289,4.465909090909092,deepest_5m,49.3431,-122.9052
CF005,CF005 (BI-5),2019-10-31 22:25:04.470000+00:00,59.63,439,4.223362844052498,deepest_5m,49.3431,-122.9052
CF005,CF005 (BI-5),2019-11-14 18:32:52.880000+00:00,70.14,560,4.378689492325857,deepest_5m,49.3431,-122.9052
