site_code,region,lat,lon,minDepth,maxDepth,final_tier,record_status,site_name,data_kind,n_obs,n_summer_obs,first,last,o2_min,o2_p10,o2_median,pct_below_hypoxic,pct_below_at_risk,class_worst_case,class_exposure,class_typical,djf_n,djf_p10,djf_median,djf_class,mam_n,mam_p10,mam_median,mam_class,jja_n,jja_p10,jja_median,jja_class,son_n,son_p10,son_median,son_class,confidence,station_depth_m
CF001,Salish Sea,49.4593,-122.8768,,,cf_visit,ended 2026,CF001 (BI-1),visit_casts,87,37,2019-01-25 19:58:00.970000+00:00,2026-06-25 22:34:14.430000+00:00,1.0333230697056335,1.3096223565375436,2.823063143752799,11.494252873563218,49.42528735632184,hypoxic,hypoxic,good,20,1.2995290898266423,2.4933422968177625,hypoxic,23,1.4800124105396684,2.598133745213267,at_risk,20,1.828381152408532,3.978033189972032,at_risk,24,1.4896664296865638,2.8706324480294443,at_risk,high,70.8
CF005,Salish Sea,49.3431,-122.9052,,,cf_visit,ended 2026,CF005 (BI-5),visit_casts,88,39,2019-01-25 21:17:58.750000+00:00,2026-06-25 21:35:34.400000+00:00,1.1793465674200114,2.3208849776857083,4.404283914794071,3.4090909090909087,14.772727272727273,hypoxic,at_risk,good,21,2.640904953950469,4.603622431208638,at_risk,21,2.4129530336080216,5.256708090759815,at_risk,22,2.7502361309990224,4.814178009820768,at_risk,24,2.2376019653994708,4.153756901405804,at_risk,high,64.4
CF006,Salish Sea,49.31353,-122.9363,,,cf_visit,ended 2026,CF006 (BI-6),visit_casts,69,28,2019-01-25 21:31:33.360000+00:00,2026-06-25 21:06:59.940000+00:00,3.457015448964308,4.19465061321563,5.355502556785637,0.0,0.0,good,good,good,18,4.374883605088805,5.227376396271403,good,15,4.841357109548453,6.52513434841021,good,14,4.944818788104232,5.950546209767644,good,22,3.9082015278550783,4.5168695800522745,good,high,27.7
CF010,Salish Sea,49.30028,-123.1099,,,cf_visit,ended 2026,CF010 (BI-10),visit_casts,86,34,2019-01-25 23:38:38.360000+00:00,2026-06-25 18:48:59.090000+00:00,3.834066063998501,4.643595737430932,6.12325741409226,0.0,0.0,good,good,good,17,4.895770329282538,6.234570027673477,good,28,5.467248990681552,6.709574190177639,good,22,5.298454010928383,6.15409614058316,good,19,4.109204464992753,4.890490423770297,good,high,18.8
CF016,Salish Sea,49.31722,-123.1761,,,cf_visit,ended 2026,CF016 (BI-16),visit_casts,76,30,2019-01-31 21:46:03.230000+00:00,2026-06-25 18:35:14.580000+00:00,2.564015958323249,3.659768545747095,4.619465557756964,0.0,3.9473684210526314,at_risk,good,good,15,3.990956827827273,4.879849774050402,good,24,4.331524095156946,5.718958563786149,good,18,3.767819002436567,4.490322590102488,good,19,2.7366366801607342,3.909382518043305,at_risk,high,40.8
CF031,Salish Sea,48.64803,-123.392062,,,cf_visit,ended 2026,CF031 (ONC Haro Strait Testing Site),visit_casts,16,7,2020-01-21 23:16:59.980000+00:00,2026-05-14 20:48:36.990000+00:00,4.266794281312259,5.077986940384863,6.561094248051959,0.0,0.0,good,good,good,2,,,unclassified,6,6.26543924425419,6.752469122610744,good,3,6.395879229161505,6.577653176613971,good,5,4.499711963237396,5.306885394644626,good,medium,7.3
CF119,Salish Sea,48.622864,-123.498614,,,cf_visit,ended 2026,CF119 (BPS),visit_casts,6,3,2020-07-08 17:53:28.440000+00:00,2026-06-18 21:30:53.160000+00:00,0.0,0.02910882221227049,0.11319597471099724,66.66666666666666,83.33333333333334,anoxic,anoxic,hypoxic,2,,,unclassified,1,,,unclassified,3,0.30383917118064446,1.5191958559032221,hypoxic,0,,,unclassified,low,153.8
CF141,Salish Sea,48.42533,-123.37189,,,cf_visit,ended 2025,CF141 (GVHA10),visit_casts,1,1,2025-06-13 18:06:53.630000+00:00,2025-06-13 18:06:53.630000+00:00,6.771849863988292,6.771849863988292,6.771849863988292,0.0,0.0,good,good,good,0,,,unclassified,0,,,unclassified,1,,,unclassified,0,,,unclassified,low,7.5
CF226,Salish Sea,49.298243,-122.878294,,,cf_visit,ended 2026,CF226 (BI-7),visit_casts,85,34,2019-01-25 21:49:59.440000+00:00,2026-06-25 20:14:30.780000+00:00,3.774238869873533,4.578881987577639,7.183942761328488,0.0,0.0,good,good,good,19,4.337593411056445,6.121169470923166,good,23,6.4609581101320614,8.882341376033553,good,21,6.25444338166418,7.867189658968594,good,22,4.097794625445292,5.575760606897996,good,high,7.8
CF361,Salish Sea,49.487083,-124.769333,,,cf_visit,ended 2026,CF361 (BSM-1),visit_casts,3,2,2024-07-30 17:40:24.260000+00:00,2026-04-27 22:31:34.880000+00:00,5.0111687232584625,5.039758951724902,5.154119865590661,0.0,0.0,good,good,good,0,,,unclassified,1,,,unclassified,2,,,unclassified,0,,,unclassified,low,47.4
